,station_name,date,entry_exit,tapcount,DLR,tube,NR,EL,Overground
350,Arsenal,2019-12-31,Exit,132456,False,True,False,False,False
351,Arsenal,2019-02-28,Exit,128873,False,True,False,False,False
352,Arsenal,2019-01-31,Exit,144514,False,True,False,False,False
353,Arsenal,2019-07-31,Exit,123581,False,True,False,False,False
354,Arsenal,2019-06-30,Exit,108995,False,True,False,False,False
355,Arsenal,2019-03-31,Exit,134720,False,True,False,False,False
356,Arsenal,2019-05-31,Exit,127394,False,True,False,False,False
357,Arsenal,2019-11-30,Exit,137371,False,True,False,False,False
358,Arsenal,2019-10-31,Exit,153218,False,True,False,False,False
359,Arsenal,2019-09-30,Exit,132354,False,True,False,False,False
360,Baker Street,2019-04-30,Entry,1151512,False,True,False,False,False
361,Baker Street,2019-08-31,Entry,1165780,False,True,False,False,False
362,Baker Street,2019-12-31,Entry,986105,False,True,False,False,False
363,Baker Street,2019-02-28,Entry,1090997,False,True,False,False,False
364,Baker Street,2019-01-31,Entry,1050999,False,True,False,False,False
365,Baker Street,2019-07-31,Entry,1238582,False,True,False,False,False
366,Baker Street,2019-06-30,Entry,1185049,False,True,False,False,False
367,Baker Street,2019-03-31,Entry,1191201,False,True,False,False,False
368,Baker Street,2019-05-31,Entry,1180351,False,True,False,False,False
369,Baker Street,2019-11-30,Entry,1183128,False,True,False,False,False
370,Baker Street,2019-10-31,Entry,1277655,False,True,False,False,False
371,Baker Street,2019-09-30,Entry,1106928,False,True,False,False,False
372,Baker Street,2019-04-30,Exit,1122143,False,True,False,False,False
373,Baker Street,2019-08-31,Exit,1153591,False,True,False,False,False
374,Baker Street,2019-12-31,Exit,981917,False,True,False,False,False
375,Baker Street,2019-02-28,Exit,1084106,False,True,False,False,False
376,Baker Street,2019-01-31,Exit,1047865,False,True,False,False,False
377,Baker Street,2019-07-31,Exit,1225241,False,True,False,False,False
378,Baker Street,2019-06-30,Exit,1167539,False,True,False,False,False
379,Baker Street,2019-03-31,Exit,1179942,False,True,False,False,False
380,Baker Street,2019-05-31,Exit,1170051,False,True,False,False,False
381,Baker Street,2019-11-30,Exit,1185148,False,True,False,False,False
382,Baker Street,2019-10-31,Exit,1284993,False,True,False,False,False
383,Baker Street,2019-09-30,Exit,1109794,False,True,False,False,False
384,Balham,2019-04-30,Entry,508171,False,True,False,False,False
385,Balham,2019-08-31,Entry,495769,False,True,False,False,False
386,Balham,2019-12-31,Entry,491944,False,True,False,False,False
387,Balham,2019-02-28,Entry,515716,False,True,False,False,False
388,Balham,2019-01-31,Entry,522641,False,True,False,False,False
389,Balham,2019-07-31,Entry,527777,False,True,False,False,False
390,Balham,2019-06-30,Entry,526051,False,True,False,False,False
391,Balham,2019-03-31,Entry,559179,False,True,False,False,False
392,Balham,2019-05-31,Entry,545201,False,True,False,False,False
393,Balham,2019-11-30,Entry,571298,False,True,False,False,False
394,Balham,2019-10-31,Entry,576652,False,True,False,False,False
395,Balham,2019-09-30,Entry,511457,False,True,False,False,False
396,Balham,2019-04-30,Exit,504045,False,True,False,False,False
397,Balham,2019-08-31,Exit,480885,False,True,False,False,False
398,Balham,2019-12-31,Exit,488499,False,True,False,False,False
399,Balham,2019-02-28,Exit,513984,False,True,False,False,False
400,Balham,2019-01-31,Exit,530717,False,True,False,False,False
401,Balham,2019-07-31,Exit,524154,False,True,False,False,False
402,Balham,2019-06-30,Exit,525927,False,True,False,False,False
403,Balham,2019-03-31,Exit,558678,False,True,False,False,False
404,Balham,2019-05-31,Exit,539292,False,True,False,False,False
405,Balham,2019-11-30,Exit,568424,False,True,False,False,False
406,Balham,2019-10-31,Exit,575954,False,True,False,False,False
407,Balham,2019-09-30,Exit,514460,False,True,False,False,False
408,Bank,2019-04-30,Entry,1646847,True,True,False,False,False
409,Bank,2019-08-31,Entry,1548082,True,True,False,False,False
410,Bank,2019-12-31,Entry,1600835,True,True,False,False,False
411,Bank,2019-02-28,Entry,1697092,True,True,False,False,False
412,Bank,2019-01-31,Entry,1762806,True,True,False,False,False
413,Bank,2019-07-31,Entry,1799797,True,True,False,False,False
414,Bank,2019-06-30,Entry,1658397,True,True,False,False,False
415,Bank,2019-03-31,Entry,1829212,True,True,False,False,False
416,Bank,2019-05-31,Entry,1753814,True,True,False,False,False
417,Bank,2019-11-30,Entry,1993096,True,True,False,False,False
418,Bank,2019-10-31,Entry,2117543,True,True,False,False,False
419,Bank,2019-09-30,Entry,1703821,True,True,False,False,False
420,Bank,2019-04-30,Exit,1681170,True,True,False,False,False
421,Bank,2019-08-31,Exit,1559614,True,True,False,False,False
422,Bank,2019-12-31,Exit,1488920,True,True,False,False,False
423,Bank,2019-02-28,Exit,1707392,True,True,False,False,False
424,Bank,2019-01-31,Exit,1795684,True,True,False,False,False
425,Bank,2019-07-31,Exit,1801803,True,True,False,False,False
426,Bank,2019-06-30,Exit,1646516,True,True,False,False,False
427,Bank,2019-03-31,Exit,1847211,True,True,False,False,False
428,Bank,2019-05-31,Exit,1736771,True,True,False,False,False
429,Bank,2019-11-30,Exit,1850655,True,True,False,False,False
430,Bank,2019-10-31,Exit,1922678,True,True,False,False,False
431,Bank,2019-09-30,Exit,1712216,True,True,False,False,False
