station_id,station_name,Longitude,Latitude,Borough
woo621,Wood Lane,-0.224472606,51.50965783,Hammersmith and Fulham
woo774,Woodford,0.034056202,51.6072019,Redbridge
woo214,Woodside Park,-0.185425503,51.6178681,Barnet
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
