match_id,player_name,sets,balls_bowled,runs_conceded,how_many_out,extras
162,BGF Green,4.0,21,26,2,2
162,DA Payne,4.0,22,33,2,2
162,DJ Willey,2.0,10,18,0,0
162,Haris Rauf,4.0,21,27,0,2
162,NA Sowter,1.0,5,5,0,0
162,RE van der Merwe,2.0,10,11,1,0
162,SM Curran,4.0,20,33,0,0
162,SP Narine,3.0,15,25,0,0
162,Shaheen Shah Afridi,4.0,21,22,2,1
162,TK Curran,4.0,21,27,2,2
162,ZJ Chappell,4.0,20,15,1,0
163,AF Milne,4.0,21,33,3,2
163,BAC Howell,4.0,20,21,4,0
163,DR Mousley,1.0,5,5,0,0
163,J Little,3.6,19,15,2,1
163,J Overton,1.0,7,14,0,2
163,KW Richardson,4.0,21,33,0,1
163,PI Walter,3.0,15,16,1,0
163,RJ Gleeson,4.0,21,22,2,1
163,Shadab Khan,4.0,20,39,0,0
163,TG Helm,3.0,16,28,1,1
163,TW Hartley,4.0,20,13,3,0
163,Usama Mir,4.0,21,27,2,1
164,DJ Mitchell,0.2,1,0,1,0
164,DJ Worrall,2.0,11,10,1,1
164,JA Thompson,1.0,5,11,0,0
164,LA Dawson,1.0,5,3,1,0
164,MJJ Critchley,1.0,5,10,0,0
165,AU Rashid,4.0,20,20,0,0
165,CF Parkinson,4.0,20,29,2,0
165,D Wiese,2.0,10,21,0,0
165,DR Sams,4.0,22,38,0,2
165,Imad Wasim,4.0,20,12,0,0
165,JE Root,4.0,21,24,2,1
165,L Gregory,1.0,5,7,0,0
165,L Wood,4.0,21,23,3,1
165,MW Short,2.0,10,17,0,0
165,RJW Topley,4.0,20,20,2,0
165,SJ Cook,3.0,15,34,0,0
165,WD Parnell,4.0,20,21,3,0
166,AAP Atkinson,3.8,20,24,2,2
166,J Little,4.0,21,38,1,1
166,J Overton,4.0,20,21,2,0
166,NA Sowter,4.0,20,34,2,0
166,PI Walter,4.0,20,39,1,0
166,RJ Gleeson,4.0,22,38,1,3
166,SH Johnson,4.0,20,1,3,0
166,SM Curran,2.0,11,17,0,1
166,SP Narine,4.0,20,12,3,0
166,TW Hartley,2.0,11,24,0,1
166,Usama Mir,2.0,10,26,0,0
167,AF Milne,2.0,12,23,0,3
167,BAC Howell,4.0,21,16,2,1
167,BGF Green,2.0,10,13,0,0
167,DA Payne,3.0,15,11,2,0
167,DJ Willey,1.0,5,2,0,0
167,DR Mousley,1.0,5,12,0,0
167,Haris Rauf,4.0,20,20,2,0
167,KW Richardson,1.0,6,11,0,1
167,LS Livingstone,1.0,5,7,0,0
167,LWP Wells,3.0,17,21,0,3
167,MM Ali,4.0,20,15,1,0
167,RE van der Merwe,3.0,15,16,2,0
167,Shadab Khan,3.0,15,16,1,0
167,Shaheen Shah Afridi,4.0,20,26,1,0
167,TG Helm,1.0,5,10,0,0
168,AAP Atkinson,4.2,23,22,3,3
168,AU Rashid,4.0,20,38,1,0
168,BA Carse,3.0,15,36,0,0
168,CF Parkinson,3.0,15,19,1,0
168,D Wiese,2.0,10,20,0,0
168,NA Sowter,4.0,20,48,1,0
168,RJW Topley,4.0,20,41,1,0
168,SH Johnson,4.0,21,36,1,1
168,SM Curran,4.0,21,31,2,1
168,SP Narine,4.0,20,35,1,0
168,WD Parnell,4.0,20,29,2,0
169,CP Wood,4.0,25,47,0,7
169,DJ Mitchell,2.0,11,19,0,1
169,DJ Worrall,4.0,20,23,2,0
169,DR Sams,3.0,15,33,0,0
169,IS Sodhi,4.0,21,29,2,5
169,JE Root,3.0,15,31,0,0
169,L Gregory,3.0,15,19,0,0
169,L Wood,3.0,18,31,0,5
169,LA Dawson,4.0,20,38,2,0
169,MJJ Critchley,2.0,10,22,0,0
169,NT Ellis,4.0,21,43,1,1
169,SJ Cook,4.0,22,48,2,3
170,BGF Green,2.0,10,11,0,0
170,C Overton,4.0,21,19,2,1
170,DA Payne,2.0,10,10,1,0
170,DJ Willey,1.0,5,14,0,0
170,GD Phillips,1.8,9,16,0,0
170,GHS Garton,3.0,15,8,3,0
170,Haris Rauf,2.0,10,15,0,0
170,JK Fuller,2.0,10,6,0,0
170,MD Fisher,4.0,22,24,1,2
170,RE van der Merwe,1.0,6,12,0,5
170,Rehan Ahmed,3.0,15,15,0,0
170,Shaheen Shah Afridi,2.0,10,10,0,0
170,TS Mills,4.0,20,13,4,0
171,AU Rashid,3.0,15,27,1,0
171,BA Carse,4.0,21,36,1,1
171,BA Raine,2.0,10,29,0,0
171,CF Parkinson,3.0,15,34,1,0
171,D Wiese,1.0,6,11,0,1
171,J Little,4.0,21,33,2,1
171,JC Tongue,4.0,21,25,1,1
171,PI Walter,2.0,10,26,1,0
171,RJW Topley,4.0,21,29,3,1
171,TW Hartley,2.0,10,9,1,0
171,Usama Mir,4.0,20,19,4,0
171,WD Parnell,3.0,16,44,0,1
172,AF Milne,4.0,20,18,3,0
172,BAC Howell,4.0,21,16,1,2
172,CR Woakes,4.0,21,21,1,2
172,KW Richardson,3.8,22,32,4,3
172,LS Livingstone,1.0,5,8,1,0
172,MM Ali,3.0,15,23,0,0
172,NA Sowter,3.0,15,16,2,0
172,SH Johnson,4.0,23,32,0,3
172,SM Curran,4.0,20,37,1,0
172,SP Narine,4.0,20,32,0,0
172,WG Jacks,2.0,10,8,0,0
172,ZJ Chappell,3.0,16,33,5,1
173,DJ Willey,3.0,15,15,2,0
173,DR Sams,4.0,20,35,2,0
173,Haris Rauf,4.0,20,19,0,0
173,IS Sodhi,4.0,20,29,1,0
173,JA Turner,4.0,21,22,3,2
173,JT Ball,4.0,20,26,2,0
173,L Gregory,4.0,20,35,0,0
173,L Wood,3.0,16,15,0,2
173,LWP Wells,1.0,7,9,0,3
173,RE van der Merwe,4.0,21,44,2,5
173,SR Patel,1.0,5,9,0,0
173,Shaheen Shah Afridi,4.0,20,28,0,0
174,A Zampa,4.0,21,24,2,1
174,CP Wood,4.0,23,49,0,5
174,DJ Mitchell,2.0,10,16,2,0
174,DJ Worrall,4.2,22,21,0,1
174,DW Lawrence,1.0,5,5,0,0
174,LA Dawson,4.0,21,41,0,1
174,MJJ Critchley,1.0,5,13,0,0
174,NA Sowter,3.0,15,28,1,0
174,NT Ellis,4.0,20,36,2,0
174,SH Johnson,3.0,16,26,0,5
174,SM Curran,4.0,22,40,1,3
174,WG Jacks,3.0,18,22,2,4
174,ZJ Chappell,3.0,17,41,1,3
175,AF Milne,2.0,12,18,0,3
