match_id,date,home_team,away_team,city,venue,competition,toss_winner,toss_decision,bat_first,winner,by
30,2021-08-18,Welsh Fire,London Spirit,Cardiff,Sophia Gardens,male,Welsh Fire,field,London Spirit,Welsh Fire,3 wickets
31,2021-08-20,Southern Brave,Trent Rockets,London,Kennington Oval,male,Southern Brave,field,Trent Rockets,Southern Brave,7 wickets
32,2021-08-21,Birmingham Phoenix,Southern Brave,London,Lord's,male,Birmingham Phoenix,field,Southern Brave,Southern Brave,32 runs
33,2021-07-21,Oval Invincibles,Manchester Originals,London,Kennington Oval,female,Manchester Originals,bat,Manchester Originals,Oval Invincibles,5 wickets
34,2021-07-23,London Spirit,Birmingham Phoenix,Birmingham,Edgbaston,female,London Spirit,field,Birmingham Phoenix,London Spirit,3 wickets
35,2021-07-24,Trent Rockets,Southern Brave,Nottingham,Trent Bridge,female,Trent Rockets,field,Southern Brave,Southern Brave,23 runs
36,2021-07-24,Northern Superchargers,Welsh Fire,Leeds,Headingley,female,Northern Superchargers,field,Welsh Fire,Northern Superchargers,6 wickets
37,2021-07-25,London Spirit,Oval Invincibles,London,Lord's,female,London Spirit,field,Oval Invincibles,Oval Invincibles,15 runs
38,2021-07-25,Manchester Originals,Birmingham Phoenix,Manchester,Old Trafford,female,Birmingham Phoenix,bat,Birmingham Phoenix,Birmingham Phoenix,20 runs
39,2021-07-26,Trent Rockets,Northern Superchargers,Nottingham,Trent Bridge,female,Northern Superchargers,bat,Northern Superchargers,Northern Superchargers,27 runs
40,2021-07-27,Southern Brave,Welsh Fire,Cardiff,Sophia Gardens,female,Southern Brave,field,Welsh Fire,Southern Brave,8 wickets
41,2021-07-29,London Spirit,Trent Rockets,London,Lord's,female,Trent Rockets,bat,Trent Rockets,Trent Rockets,18 runs
42,2021-07-30,Southern Brave,Birmingham Phoenix,Southampton,The Rose Bowl,female,Southern Brave,field,Birmingham Phoenix,Southern Brave,8 wickets
43,2021-07-31,Welsh Fire,Manchester Originals,Cardiff,Sophia Gardens,female,Welsh Fire,field,Manchester Originals,Welsh Fire,9 wickets
44,2021-07-31,Oval Invincibles,Northern Superchargers,Leeds,Headingley,female,Oval Invincibles,field,Northern Superchargers,Northern Superchargers,4 runs
45,2021-08-01,Birmingham Phoenix,Trent Rockets,Birmingham,Edgbaston,female,Trent Rockets,bat,Trent Rockets,Trent Rockets,11 runs
46,2021-08-01,Southern Brave,London Spirit,London,Lord's,female,Southern Brave,field,London Spirit,Southern Brave,7 wickets
47,2021-08-02,Oval Invincibles,Welsh Fire,London,Kennington Oval,female,Oval Invincibles,field,Welsh Fire,Welsh Fire,12 runs
48,2021-08-03,London Spirit,Northern Superchargers,London,Lord's,female,Northern Superchargers,bat,Northern Superchargers,London Spirit,7 wickets
49,2021-08-04,Oval Invincibles,Birmingham Phoenix,Birmingham,Edgbaston,female,Birmingham Phoenix,bat,Birmingham Phoenix,Oval Invincibles,8 wickets
50,2021-08-05,Manchester Originals,Southern Brave,Manchester,Old Trafford,female,Manchester Originals,field,Southern Brave,Manchester Originals,17 runs
51,2021-08-06,Trent Rockets,Welsh Fire,Cardiff,Sophia Gardens,female,Trent Rockets,field,Welsh Fire,Trent Rockets,4 wickets
52,2021-08-07,Southern Brave,Northern Superchargers,Southampton,The Rose Bowl,female,Southern Brave,field,Northern Superchargers,Southern Brave,7 wickets
53,2021-08-09,Birmingham Phoenix,Welsh Fire,Birmingham,Edgbaston,female,Birmingham Phoenix,field,Welsh Fire,Birmingham Phoenix,10 wickets
54,2021-08-10,London Spirit,Manchester Originals,Manchester,Old Trafford,female,Manchester Originals,bat,Manchester Originals,London Spirit,5 wickets
55,2021-08-11,Welsh Fire,Southern Brave,Southampton,The Rose Bowl,female,Welsh Fire,field,Southern Brave,Southern Brave,39 runs
56,2021-08-12,Manchester Originals,Northern Superchargers,Leeds,Headingley,female,Manchester Originals,field,Northern Superchargers,Manchester Originals,8 wickets
57,2021-08-13,Birmingham Phoenix,Trent Rockets,Nottingham,Trent Bridge,female,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,3 wickets
58,2021-08-14,Oval Invincibles,London Spirit,London,Kennington Oval,female,Oval Invincibles,field,London Spirit,Oval Invincibles,8 wickets
59,2021-08-15,Manchester Originals,Trent Rockets,Nottingham,Trent Bridge,female,Manchester Originals,field,Trent Rockets,Manchester Originals,9 wickets
60,2021-08-16,Oval Invincibles,Southern Brave,Southampton,The Rose Bowl,female,Oval Invincibles,field,Southern Brave,Southern Brave,30 runs
61,2021-08-17,Northern Superchargers,Birmingham Phoenix,Leeds,Headingley,female,Northern Superchargers,field,Birmingham Phoenix,Birmingham Phoenix,14 runs
62,2021-08-18,London Spirit,Welsh Fire,Cardiff,Sophia Gardens,female,London Spirit,field,Welsh Fire,London Spirit,7 wickets
63,2021-08-20,Birmingham Phoenix,Oval Invincibles,London,Kennington Oval,female,Birmingham Phoenix,field,Oval Invincibles,Oval Invincibles,20 runs
64,2021-08-21,Southern Brave,Oval Invincibles,London,Lord's,female,Southern Brave,field,Oval Invincibles,Oval Invincibles,48 runs
65,2022-08-11,Oval Invincibles,Northern Superchargers,London,Kennington Oval,female,Oval Invincibles,field,Northern Superchargers,Oval Invincibles,9 wickets
66,2022-08-12,Southern Brave,London Spirit,Southampton,The Rose Bowl,female,London Spirit,bat,London Spirit,Southern Brave,6 wickets
67,2022-08-13,Manchester Originals,Trent Rockets,Manchester,Old Trafford,female,Manchester Originals,field,Trent Rockets,Trent Rockets,43 runs
68,2022-08-13,Welsh Fire,Birmingham Phoenix,Cardiff,Sophia Gardens,female,Welsh Fire,field,Birmingham Phoenix,Birmingham Phoenix,19 runs
69,2022-08-14,London Spirit,Northern Superchargers,Leeds,Headingley,female,London Spirit,field,Northern Superchargers,Northern Superchargers,5 runs
70,2022-08-14,Oval Invincibles,Southern Brave,London,Kennington Oval,female,Oval Invincibles,field,Southern Brave,Southern Brave,12 runs
71,2022-08-15,Birmingham Phoenix,Trent Rockets,Birmingham,Edgbaston,female,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,8 wickets
72,2022-08-16,Welsh Fire,Manchester Originals,Manchester,Old Trafford,female,Welsh Fire,field,Manchester Originals,Manchester Originals,11 runs
73,2022-08-17,Oval Invincibles,Trent Rockets,Nottingham,Trent Bridge,female,Oval Invincibles,field,Trent Rockets,Oval Invincibles,5 wickets
74,2022-08-18,Manchester Originals,Southern Brave,Southampton,The Rose Bowl,female,Manchester Originals,field,Southern Brave,Southern Brave,9 runs
75,2022-08-19,Northern Superchargers,Birmingham Phoenix,Birmingham,Edgbaston,female,Northern Superchargers,field,Birmingham Phoenix,Birmingham Phoenix,5 runs
76,2022-08-20,London Spirit,Trent Rockets,Nottingham,Trent Bridge,female,London Spirit,field,Trent Rockets,Trent Rockets,18 runs
77,2022-08-21,Northern Superchargers,Manchester Originals,Leeds,Headingley,female,Manchester Originals,bat,Manchester Originals,Northern Superchargers,7 wickets
78,2022-08-22,Welsh Fire,Southern Brave,Cardiff,Sophia Gardens,female,Welsh Fire,field,Southern Brave,Southern Brave,14 runs
79,2022-08-23,Oval Invincibles,Birmingham Phoenix,London,Kennington Oval,female,Oval Invincibles,field,Birmingham Phoenix,Oval Invincibles,8 wickets
80,2022-08-24,London Spirit,Welsh Fire,London,Lord's,female,Welsh Fire,bat,Welsh Fire,London Spirit,8 wickets
81,2022-08-25,Southern Brave,Trent Rockets,Southampton,The Rose Bowl,female,Southern Brave,field,Trent Rockets,Southern Brave,10 wickets
82,2022-08-26,Northern Superchargers,Welsh Fire,Cardiff,Sophia Gardens,female,Welsh Fire,bat,Welsh Fire,Welsh Fire,11 runs
83,2022-08-27,Oval Invincibles,London Spirit,London,Lord's,female,Oval Invincibles,field,London Spirit,Oval Invincibles,9 wickets
84,2022-08-28,Birmingham Phoenix,Manchester Originals,Birmingham,Edgbaston,female,Birmingham Phoenix,field,Manchester Originals,Manchester Originals,18 runs
85,2022-08-29,Trent Rockets,Welsh Fire,Nottingham,Trent Bridge,female,Welsh Fire,bat,Welsh Fire,Trent Rockets,8 wickets
86,2022-08-30,London Spirit,Birmingham Phoenix,London,Lord's,female,London Spirit,field,Birmingham Phoenix,London Spirit,4 wickets
87,2022-08-31,Southern Brave,Northern Superchargers,Leeds,Headingley,female,Southern Brave,field,Northern Superchargers,Northern Superchargers,20 runs
88,2022-08-31,Manchester Originals,Oval Invincibles,Manchester,Old Trafford,female,Oval Invincibles,bat,Oval Invincibles,Oval Invincibles,32 runs
89,2022-09-02,Trent Rockets,Southern Brave,Southampton,The Rose Bowl,female,Trent Rockets,field,Southern Brave,Southern Brave,2 runs
90,2022-09-03,Oval Invincibles,Southern Brave,London,Lord's,female,Southern Brave,bat,Southern Brave,Oval Invincibles,5 wickets
91,2022-08-03,Southern Brave,Welsh Fire,Southampton,The Rose Bowl,male,Southern Brave,field,Welsh Fire,Southern Brave,9 wickets
92,2022-08-04,Oval Invincibles,London Spirit,London,Kennington Oval,male,Oval Invincibles,field,London Spirit,London Spirit,3 runs
93,2022-08-05,Northern Superchargers,Manchester Originals,Manchester,Old Trafford,male,Northern Superchargers,field,Manchester Originals,Northern Superchargers,6 wickets
94,2022-08-06,Trent Rockets,Birmingham Phoenix,Nottingham,Trent Bridge,male,Trent Rockets,field,Birmingham Phoenix,Trent Rockets,6 wickets
95,2022-08-07,Welsh Fire,Oval Invincibles,Cardiff,Sophia Gardens,male,Welsh Fire,field,Oval Invincibles,Oval Invincibles,39 runs
96,2022-08-08,Manchester Originals,London Spirit,London,Lord's,male,London Spirit,bat,London Spirit,London Spirit,52 runs
97,2022-08-09,Trent Rockets,Northern Superchargers,Leeds,Headingley,male,Trent Rockets,field,Northern Superchargers,Trent Rockets,7 wickets
98,2022-08-10,Southern Brave,Birmingham Phoenix,Birmingham,Edgbaston,male,Southern Brave,field,Birmingham Phoenix,Birmingham Phoenix,53 runs
99,2022-08-11,Oval Invincibles,Northern Superchargers,London,Kennington Oval,male,Oval Invincibles,field,Northern Superchargers,Oval Invincibles,3 wickets
100,2022-08-12,Southern Brave,London Spirit,Southampton,The Rose Bowl,male,London Spirit,bat,London Spirit,London Spirit,9 runs
101,2022-08-13,Trent Rockets,Manchester Originals,Manchester,Old Trafford,male,Trent Rockets,field,Manchester Originals,Trent Rockets,8 wickets
102,2022-08-13,Welsh Fire,Birmingham Phoenix,Cardiff,Sophia Gardens,male,Welsh Fire,field,Birmingham Phoenix,Birmingham Phoenix,4 runs
103,2022-08-14,London Spirit,Northern Superchargers,Leeds,Headingley,male,Northern Superchargers,bat,Northern Superchargers,London Spirit,7 wickets
104,2022-08-14,Oval Invincibles,Southern Brave,London,Kennington Oval,male,Oval Invincibles,field,Southern Brave,Oval Invincibles,7 wickets
105,2022-08-15,Birmingham Phoenix,Trent Rockets,Birmingham,Edgbaston,male,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,7 wickets
106,2022-08-16,Welsh Fire,Manchester Originals,Manchester,Old Trafford,male,Welsh Fire,field,Manchester Originals,Manchester Originals,47 runs
107,2022-08-17,Oval Invincibles,Trent Rockets,Nottingham,Trent Bridge,male,Oval Invincibles,field,Trent Rockets,Trent Rockets,25 runs
108,2022-08-18,Southern Brave,Manchester Originals,Southampton,The Rose Bowl,male,Southern Brave,field,Manchester Originals,Manchester Originals,68 runs
109,2022-08-19,Birmingham Phoenix,Northern Superchargers,Birmingham,Edgbaston,male,Birmingham Phoenix,field,Northern Superchargers,Northern Superchargers,32 runs
110,2022-08-20,Trent Rockets,London Spirit,Nottingham,Trent Bridge,male,Trent Rockets,field,London Spirit,Trent Rockets,6 wickets
