match_id,player_name,balls_faced,runs_scored,out,catches
150,S Ismail,9,8,1,0
150,SIR Dunkley,24,29,1,1
150,SJ Bryce,9,4,1,1
150,TT Beaumont,3,0,1,1
151,CL Tryon,8,4,0,0
151,DJS Dottin,8,4,1,1
151,DN Wyatt,32,60,1,0
151,EL Lamb,8,4,1,1
151,FMK Morris,39,50,1,1
151,KE Bryce,4,6,0,0
151,KL George,4,5,0,0
151,L Wolvaardt,40,46,1,1
151,ME Bouchier,26,47,0,0
151,S Mandhana,7,8,1,0
152,AC Kerr,17,17,1,1
152,AE Jones,14,14,1,1
152,AJ Freeborn,11,12,1,0
152,C Pavely,1,1,0,0
152,DR Gibson,11,18,1,0
152,E Jones,11,12,1,0
152,EA Burns,8,13,1,1
152,EL Arlott,6,5,1,1
152,G Scrivens,5,6,0,0
152,GM Harris,50,87,1,0
152,IECM Wong,3,1,1,1
152,KA Levick,3,0,1,0
152,RM Ghosh,18,29,1,0
152,SFM Devine,4,4,1,1
152,SL Kalis,16,28,1,0
152,SN Luff,5,3,1,1
152,T Flintoff,3,2,1,0
153,HK Matthews,12,10,1,1
153,L Harris,5,14,0,0
153,SIR Dunkley,29,38,1,1
153,TT Beaumont,30,37,0,0
154,AN Davidson-Richards,7,3,1,0
154,BAM Heath,13,13,1,0
154,CL Tryon,6,9,1,1
154,DN Wyatt,38,59,0,0
154,FG Kemp,17,31,1,0
154,G Ballinger,2,0,0,0
154,G Wareham,7,8,1,1
154,GL Adams,28,27,2,1
154,HJ Armitage,14,11,1,0
154,JI Rodrigues,15,24,1,1
154,K Moore,1,1,0,0
154,KL Cross,9,12,1,0
154,L Dobson,11,3,1,0
154,LF Higham,7,12,1,1
154,M Brown,2,2,0,0
154,M Kelly,2,0,1,0
154,ME Bouchier,7,4,1,1
154,P Litchfield,11,13,1,1
154,S Mandhana,2,4,1,1
155,AD Hales,6,9,1,1
155,C Munro,9,10,1,1
155,C Overton,2,1,1,0
155,CJ Jordan,11,22,1,0
155,DJ Malan,12,11,1,1
155,DP Conway,16,16,1,1
155,FH Allen,27,28,1,1
155,GHS Garton,8,8,1,1
155,Imad Wasim,27,26,1,0
155,JK Fuller,6,8,1,1
155,JL du Plooy,20,29,1,1
155,JM Vince,3,3,1,0
155,L Gregory,3,2,1,0
155,L Wood,1,0,0,0
155,M Carter,1,0,1,0
155,Rehan Ahmed,4,1,0,0
155,SR Hain,39,63,1,0
155,T Kohler-Cadmore,4,4,1,0
155,TH David,4,5,1,1
155,TS Mills,1,0,1,0
156,AJ Turner,1,1,0,0
156,DJ Willey,4,3,0,0
156,GD Phillips,13,19,1,1
156,JC Buttler,18,37,0,0
156,JM Clarke,1,0,1,1
156,LJ Evans,1,0,1,0
156,LWP Wells,26,57,1,1
156,MDE Holden,18,37,1,1
156,PD Salt,1,0,1,0
156,PI Walter,2,6,1,1
156,SS Eskinazi,2,3,0,0
157,AAP Atkinson,5,3,0,0
157,AM Rossington,23,39,1,1
157,DJ Mitchell,5,5,1,0
157,DJ Worrall,1,0,1,0
157,DW Lawrence,18,24,1,0
157,H Klaasen,3,1,1,1
157,JA Thompson,9,5,1,0
157,JJ Roy,9,8,1,1
157,JM Cox,21,22,1,1
157,LA Dawson,2,4,1,0
157,MJJ Critchley,2,0,1,0
157,MS Pepper,2,4,1,1
157,MS Wade,29,37,1,1
157,NT Ellis,5,3,0,0
157,RS Bopara,9,5,1,1
157,SM Curran,28,34,1,0
157,SP Narine,6,13,0,0
157,SW Billings,15,25,1,1
157,TK Curran,10,9,1,0
157,WG Jacks,6,11,1,1
158,BM Duckett,26,34,0,0
158,CG Benjamin,2,1,0,0
158,DR Mousley,7,9,1,0
158,JG Bethell,3,0,1,0
158,JL Smith,7,13,1,0
158,Shadab Khan,2,0,1,0
158,WCF Smeed,19,21,1,1
159,BGF Green,10,16,1,1
159,C Overton,7,6,0,0
159,CJ Jordan,32,70,1,0
159,DJ Willey,21,31,1,1
159,DP Conway,4,4,1,1
159,FH Allen,15,21,1,1
159,GD Phillips,19,22,1,1
159,GHS Garton,3,1,1,0
159,JK Fuller,3,0,1,1
159,JL du Plooy,15,18,1,0
159,JM Clarke,2,0,1,1
159,JM Vince,16,18,1,0
159,LWP Wells,19,24,1,1
159,RE van der Merwe,1,1,0,0
159,Rehan Ahmed,1,1,0,0
159,SS Eskinazi,18,31,1,0
159,TB Abell,14,11,1,1
159,TH David,5,2,1,1
160,AJ Turner,10,16,0,0
160,J Overton,4,2,0,0
160,JC Buttler,37,62,1,0
160,LJ Evans,3,1,1,0
160,MDE Holden,17,24,1,0
160,PD Salt,9,21,1,1
160,PI Walter,4,2,1,1
