match_id,innings,ball_no,batting_team,bowling team,batter,bowler,non_batter,runs,extras,extra_type,total_runs,wicket,how_out,catcher
1,1,97,Oval Invincibles,Manchester Originals,TK Curran,TW Hartley,S Mahmood,0,0,False,0,False,False,False
1,1,98,Oval Invincibles,Manchester Originals,TK Curran,TW Hartley,S Mahmood,0,0,False,0,False,False,False
1,1,99,Oval Invincibles,Manchester Originals,TK Curran,TW Hartley,S Mahmood,6,0,False,6,False,False,False
1,1,100,Oval Invincibles,Manchester Originals,TK Curran,TW Hartley,S Mahmood,0,0,False,0,False,False,False
1,2,1,Manchester Originals,Oval Invincibles,PD Salt,SM Curran,JC Buttler,0,0,False,0,False,False,False
1,2,2,Manchester Originals,Oval Invincibles,PD Salt,SM Curran,JC Buttler,4,0,False,4,False,False,False
1,2,3,Manchester Originals,Oval Invincibles,PD Salt,SM Curran,JC Buttler,0,0,False,0,False,False,False
1,2,4,Manchester Originals,Oval Invincibles,PD Salt,SM Curran,JC Buttler,0,0,False,0,False,False,False
1,2,5,Manchester Originals,Oval Invincibles,PD Salt,SM Curran,JC Buttler,0,0,False,0,True,caught,CA Ingram
1,2,6,Manchester Originals,Oval Invincibles,JM Clarke,SM Curran,JC Buttler,4,0,False,4,False,False,False
1,2,7,Manchester Originals,Oval Invincibles,JM Clarke,SM Curran,JC Buttler,1,0,False,1,False,False,False
1,2,8,Manchester Originals,Oval Invincibles,JC Buttler,SM Curran,JM Clarke,0,0,False,0,False,False,False
1,2,9,Manchester Originals,Oval Invincibles,JC Buttler,SM Curran,JM Clarke,1,0,False,1,False,False,False
1,2,10,Manchester Originals,Oval Invincibles,JM Clarke,SM Curran,JC Buttler,1,0,False,1,False,False,False
1,2,11,Manchester Originals,Oval Invincibles,JM Clarke,S Mahmood,JC Buttler,0,0,False,0,False,False,False
1,2,12,Manchester Originals,Oval Invincibles,JM Clarke,S Mahmood,JC Buttler,2,0,False,2,False,False,False
1,2,13,Manchester Originals,Oval Invincibles,JM Clarke,S Mahmood,JC Buttler,4,0,False,4,False,False,False
1,2,14,Manchester Originals,Oval Invincibles,JM Clarke,S Mahmood,JC Buttler,0,0,False,0,False,False,False
1,2,15,Manchester Originals,Oval Invincibles,JM Clarke,S Mahmood,JC Buttler,0,1,legbyes,1,False,False,False
1,2,16,Manchester Originals,Oval Invincibles,JC Buttler,SP Narine,JM Clarke,0,0,False,0,False,False,False
1,2,17,Manchester Originals,Oval Invincibles,JC Buttler,SP Narine,JM Clarke,1,0,False,1,False,False,False
1,2,18,Manchester Originals,Oval Invincibles,JM Clarke,SP Narine,JC Buttler,3,0,False,3,False,False,False
1,2,19,Manchester Originals,Oval Invincibles,JC Buttler,SP Narine,JM Clarke,0,0,False,0,False,False,False
1,2,20,Manchester Originals,Oval Invincibles,JC Buttler,SP Narine,JM Clarke,2,0,False,2,False,False,False
1,2,21,Manchester Originals,Oval Invincibles,JM Clarke,RJW Topley,JC Buttler,0,0,False,0,True,caught,SW Billings
1,2,22,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,0,0,False,0,False,False,False
1,2,23,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,0,0,False,0,False,False,False
1,2,24,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,0,0,False,0,False,False,False
1,2,25,Manchester Originals,Oval Invincibles,C Munro,RJW Topley,JC Buttler,4,0,False,4,False,False,False
